Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,212.839996,213.009995,206.360001,207.949997,195.985245,2328900
2021-01-05,206.979996,210.190002,206.979996,208.460007,196.465881,2172100
2021-01-06,209.449997,213.979996,209.229996,212.259995,200.047241,2747900
2021-01-07,212.889999,214.009995,210.800003,212.610001,200.377121,2057300
2021-01-08,212.800003,213.410004,207.669998,210.029999,197.945557,3278900
2021-01-11,208.110001,209.619995,207.830002,208.360001,196.371674,2938900
2021-01-12,207.860001,209.479996,205.259995,208.880005,196.861740,2498800
2021-01-13,208.279999,208.619995,206.399994,207.020004,195.108780,2145100
2021-01-14,208.039993,209.779999,207.179993,208.610001,196.607300,3661500
2021-01-15,207.529999,207.860001,205.199997,205.970001,194.119171,3887500
2021-01-19,208.240005,208.759995,206.449997,206.759995,194.863708,2656300
2021-01-20,207.919998,208.669998,206.669998,208.080002,196.107803,2452400
2021-01-21,206.860001,207.809998,205.100006,205.229996,193.421753,2705100
2021-01-22,204.259995,204.460007,201.389999,202.250000,190.613235,3502700
2021-01-25,201.339996,202.559998,200.100006,201.869995,190.255066,4737700
2021-01-26,203.839996,204.770004,200.979996,201.059998,189.491684,2201900
2021-01-27,198.110001,200.759995,196.529999,199.380005,187.908371,4108600
2021-01-28,200.619995,205.350006,199.630005,202.839996,191.169281,3731700
2021-01-29,196.509995,200.940002,194.550003,195.369995,184.129059,4635100
2021-02-01,197.550003,197.770004,195.279999,195.559998,184.308136,2889000
2021-02-02,197.830002,200.869995,197.509995,200.119995,188.605774,2767800
2021-02-03,199.630005,199.899994,197.410004,199.139999,187.682175,1910100
2021-02-04,199.830002,201.460007,198.830002,200.589996,189.048721,2273300
2021-02-05,202.229996,203.869995,201.279999,202.919998,191.244644,1868100
2021-02-08,203.820007,204.899994,202.559998,203.860001,192.130600,2075700
2021-02-09,203.600006,203.800003,201.080002,202.020004,190.396469,1794000
2021-02-10,203.000000,203.350006,201.179993,202.160004,190.528412,1894600
2021-02-11,202.179993,203.100006,200.880005,202.179993,190.547256,1709000
2021-02-12,202.369995,203.789993,201.649994,203.570007,191.857285,1990300
2021-02-16,204.860001,205.570007,201.880005,203.440002,191.734741,2283400
2021-02-17,201.360001,202.190002,199.860001,201.899994,190.283356,2910200
2021-02-18,201.500000,204.820007,200.649994,203.520004,191.810135,1764900
2021-02-19,204.119995,206.830002,203.320007,203.559998,191.847809,2434400
2021-02-22,203.039993,204.300003,202.419998,203.619995,191.904388,2205300
2021-02-23,205.009995,205.839996,202.970001,205.039993,193.242676,2459300
2021-02-24,204.889999,212.139999,203.500000,211.029999,198.888031,3341500
2021-02-25,209.949997,210.460007,204.259995,204.789993,193.861404,2735000
2021-02-26,205.630005,205.800003,202.070007,202.350006,191.551620,3665700
