Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,214.490005,214.720001,208.220001,210.220001,196.562469,4055400
2021-01-05,210.179993,211.949997,209.619995,211.479996,197.740616,2576100
2021-01-06,211.300003,211.710007,209.029999,211.000000,197.291748,3083400
2021-01-07,213.220001,213.220001,210.559998,211.979996,198.208130,3142000
2021-01-08,212.899994,216.119995,212.229996,215.869995,201.845383,2639100
2021-01-11,215.089996,216.119995,213.119995,214.229996,200.311951,2545400
2021-01-12,213.690002,214.330002,210.940002,211.600006,197.852783,2952000
2021-01-13,210.910004,213.130005,210.899994,212.089996,198.310989,2069800
2021-01-14,212.100006,212.669998,208.000000,208.500000,194.954208,3666700
2021-01-15,207.970001,210.699997,207.419998,209.910004,196.272583,3593700
2021-01-19,210.679993,211.000000,207.880005,209.089996,195.505844,3331600
2021-01-20,210.149994,214.410004,209.630005,213.630005,199.750931,4077700
2021-01-21,214.059998,215.960007,213.320007,213.529999,199.657410,2674900
2021-01-22,212.509995,214.139999,211.169998,213.380005,199.517151,2196400
2021-01-25,212.220001,214.050003,210.559998,213.339996,199.479736,2615300
2021-01-26,212.509995,215.509995,212.169998,215.380005,201.387207,2907800
2021-01-27,212.389999,213.149994,207.000000,207.000000,193.551682,5464000
2021-01-28,208.630005,210.360001,205.130005,206.820007,193.383331,5401600
2021-01-29,205.110001,209.399994,203.110001,207.839996,194.337051,5203300
2021-02-01,208.479996,209.690002,206.600006,207.929993,194.421219,2812500
2021-02-02,208.089996,212.630005,207.649994,209.759995,196.132324,2786000
2021-02-03,208.350006,209.990005,207.929993,208.710007,195.150543,3020700
2021-02-04,210.000000,212.110001,208.669998,211.029999,197.319839,2777500
2021-02-05,212.589996,214.179993,212.009995,212.580002,198.769165,2600200
2021-02-08,212.529999,212.990005,209.960007,211.580002,197.834091,2696200
2021-02-09,212.070007,216.179993,211.770004,215.979996,201.948242,3047300
2021-02-10,216.880005,217.309998,213.809998,214.399994,200.470917,3161600
2021-02-11,214.539993,214.800003,212.399994,214.270004,200.349335,2583600
2021-02-12,214.000000,214.699997,212.990005,213.899994,200.003357,2781200
2021-02-16,214.369995,216.940002,213.830002,215.029999,201.059967,2892900
2021-02-17,213.960007,214.889999,212.630005,213.449997,199.582596,3280000
2021-02-18,213.289993,215.860001,212.649994,215.429993,201.433960,2191000
2021-02-19,215.289993,215.729996,211.970001,212.240005,198.451248,3181600
2021-02-22,211.500000,213.000000,209.690002,212.059998,198.282898,2910800
2021-02-23,214.500000,215.699997,210.429993,211.320007,197.590958,3243000
2021-02-24,210.839996,214.100006,210.419998,213.270004,199.414337,2887100
2021-02-25,212.699997,212.919998,209.740005,210.949997,197.245041,3131400
2021-02-26,210.750000,211.639999,206.139999,206.139999,193.933472,5334000
2021-03-01,207.350006,210.380005,207.350006,208.250000,195.918518,2827500
2021-03-02,208.000000,209.899994,206.190002,208.669998,196.313644,3016600
2021-03-03,207.520004,208.990005,205.610001,205.820007,193.632462,3488600
2021-03-04,206.160004,207.490005,202.729996,204.839996,192.710434,3926200
2021-03-05,205.750000,208.229996,202.960007,207.369995,195.090637,3608100
2021-03-08,207.699997,210.589996,207.139999,209.110001,196.727585,3157100
2021-03-09,210.630005,211.199997,208.279999,208.550003,196.200760,3646700
2021-03-10,208.720001,213.630005,208.240005,213.309998,200.678909,3447200
2021-03-11,214.699997,215.229996,211.490005,211.570007,199.041962,3618000
2021-03-12,212.039993,214.240005,211.419998,212.339996,199.766327,2818200
2021-03-15,213.649994,220.550003,213.500000,220.460007,207.405518,5479700
2021-03-16,219.580002,221.300003,217.160004,219.860001,206.841049,3583400
2021-03-17,224.559998,224.899994,220.009995,224.110001,210.839371,5240600
2021-03-18,223.679993,225.350006,221.410004,222.899994,209.701019,3254600
2021-03-19,222.759995,225.179993,221.000000,222.440002,209.268250,7719400
2021-03-22,223.389999,226.910004,222.649994,225.070007,211.742554,4220700
2021-03-23,223.960007,226.399994,223.750000,224.369995,211.083969,2794000
2021-03-24,225.320007,227.020004,224.039993,224.050003,210.782944,2442500
2021-03-25,225.149994,225.320007,222.440002,224.199997,210.924042,3249600
2021-03-26,224.199997,225.279999,222.419998,225.210007,211.874222,3263100
2021-03-29,224.830002,227.880005,224.300003,227.350006,213.887527,3621300
2021-03-30,226.130005,227.020004,224.220001,224.979996,211.657867,2419000
2021-03-31,224.009995,226.490005,224.000000,224.139999,210.867584,3564100
2021-04-01,224.669998,226.220001,223.279999,225.210007,211.874222,2441200
2021-04-05,226.600006,229.500000,226.190002,228.850006,215.298706,2866300
2021-04-06,229.710007,232.270004,228.720001,231.910004,218.177521,3230900
2021-04-07,231.679993,232.809998,231.240005,232.610001,218.836060,2551300
2021-04-08,232.610001,232.800003,229.199997,230.250000,216.615799,2772200
2021-04-09,230.190002,231.610001,228.869995,231.479996,217.772980,2728900
2021-04-12,231.479996,232.380005,230.490005,230.960007,217.283768,2292700
2021-04-13,230.440002,231.660004,229.690002,231.320007,217.622437,2570900
2021-04-14,231.220001,231.289993,229.589996,230.309998,216.672256,2129200
2021-04-15,229.809998,231.360001,229.199997,231.279999,217.584808,2063000
2021-04-16,233.649994,234.259995,232.309998,233.080002,219.278229,2694300
2021-04-19,233.119995,233.300003,230.830002,231.809998,218.083405,2254800
2021-04-20,231.240005,233.210007,231.080002,233.009995,219.212326,1885700
2021-04-21,233.300003,233.860001,231.850006,232.259995,218.506744,2065500
2021-04-22,232.830002,234.039993,231.940002,232.960007,219.165359,1839500
2021-04-23,233.789993,235.240005,233.100006,234.580002,220.689377,2137500
2021-04-26,234.779999,235.350006,231.910004,232.309998,218.553818,2490100
2021-04-27,232.570007,235.630005,232.410004,234.979996,221.065689,2623800
2021-04-28,235.199997,235.449997,232.259995,232.410004,218.647903,2777000
2021-04-29,233.990005,235.800003,232.619995,235.210007,221.282120,3146700
2021-04-30,234.000000,236.289993,233.869995,236.080002,222.100555,2640400
2021-05-03,237.990005,238.179993,235.380005,235.559998,221.611374,2458000
2021-05-04,234.630005,236.130005,233.240005,233.860001,220.012054,2529700
2021-05-05,234.119995,235.350006,231.559998,235.039993,221.122177,2070000
2021-05-06,235.539993,235.649994,233.169998,234.860001,220.952805,1832600
2021-05-07,235.000000,235.720001,233.990005,234.839996,220.933990,1406800
2021-05-10,235.100006,237.919998,235.100006,237.110001,223.069580,2031500
2021-05-11,237.740005,237.800003,232.199997,233.860001,220.012054,3028500
