,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
726,600837.SH,20210104,12.89,12.98,12.72,12.96,12.86,0.1,0.7776,903832.27,1162657.85
725,600837.SH,20210105,12.85,12.95,12.74,12.88,12.96,-0.08,-0.6173,815432.43,1047425.264
724,600837.SH,20210106,12.9,13.06,12.78,12.89,12.88,0.01,0.0776,836081.27,1079006.138
723,600837.SH,20210107,12.93,12.97,12.6,12.86,12.89,-0.03,-0.2327,854781.54,1093492.913
722,600837.SH,20210108,12.88,13.03,12.8,12.93,12.86,0.07,0.5443,749292.42,968390.343
721,600837.SH,20210111,12.93,13,12.65,12.65,12.93,-0.28,-2.1655,764227.79,979838.014
720,600837.SH,20210112,12.61,13.53,12.47,13.39,12.65,0.74,5.8498,2183599.96,2851196.595
719,600837.SH,20210113,13.28,13.28,12.93,13.01,13.39,-0.38,-2.8379,1114067.86,1457744.595
718,600837.SH,20210114,12.95,13.01,12.82,12.83,13.01,-0.18,-1.3836,652394.21,840618.2
717,600837.SH,20210115,12.8,13.05,12.77,12.84,12.83,0.01,0.0779,591779.89,763024.142
716,600837.SH,20210118,12.82,13.02,12.78,12.86,12.84,0.02,0.1558,586132.43,755701.431
715,600837.SH,20210119,12.85,13.05,12.78,12.79,12.86,-0.07,-0.5443,795510.62,1025061.941
714,600837.SH,20210120,12.8,12.88,12.65,12.67,12.79,-0.12,-0.9382,671900.22,856541.188
713,600837.SH,20210121,12.67,12.85,12.57,12.66,12.67,-0.01,-0.0789,900963.81,1143729.202
712,600837.SH,20210122,12.6,12.67,12.42,12.46,12.66,-0.2,-1.5798,791495.09,990699.118
711,600837.SH,20210125,12.46,12.51,12.26,12.31,12.46,-0.15,-1.2039,716383.22,884950.301
710,600837.SH,20210126,12.26,12.43,12.25,12.35,12.31,0.04,0.3249,533554.76,656604.041
709,600837.SH,20210127,12.39,12.39,12.21,12.26,12.35,-0.09,-0.7287,463058.27,568929.634
708,600837.SH,20210128,12.2,12.31,12.15,12.27,12.26,0.01,0.0816,465673.89,569642.724
707,600837.SH,20210129,12.3,12.35,12.13,12.26,12.27,-0.01,-0.0815,467282.34,571188.091
706,600837.SH,20210201,12.24,12.28,12.05,12.17,12.26,-0.09,-0.7341,366623.75,445977.372
705,600837.SH,20210202,12.17,12.28,12.14,12.21,12.17,0.04,0.3287,385404.89,469699.409
704,600837.SH,20210203,12.24,12.25,12.11,12.12,12.21,-0.09,-0.7371,378805.01,460805.09
703,600837.SH,20210204,12.09,12.15,11.85,11.93,12.12,-0.19,-1.5677,520800.37,623275.204
702,600837.SH,20210205,11.91,11.98,11.86,11.92,11.93,-0.01,-0.0838,433502.49,516655.536
701,600837.SH,20210208,11.91,11.97,11.79,11.83,11.92,-0.09,-0.755,663259.37,785770.654
700,600837.SH,20210209,11.85,12.04,11.73,11.94,11.83,0.11,0.9298,604181.51,717327.831
699,600837.SH,20210210,11.97,12.04,11.81,11.97,11.94,0.03,0.2513,829433.8,989282.908
698,600837.SH,20210218,12.18,12.24,12.06,12.08,11.97,0.11,0.919,543746.96,659601.906
697,600837.SH,20210219,12.07,12.37,12.05,12.33,12.08,0.25,2.0695,838407.25,1026609.215
696,600837.SH,20210222,12.39,12.53,12.2,12.2,12.33,-0.13,-1.0543,864438.19,1071989.481
695,600837.SH,20210223,12.22,12.33,12.11,12.14,12.2,-0.06,-0.4918,549420.48,670634.252
694,600837.SH,20210224,12.17,12.32,12.06,12.17,12.14,0.03,0.2471,640298.84,781649.577
693,600837.SH,20210225,12.22,12.38,12.11,12.3,12.17,0.13,1.0682,679727.54,834322.772
692,600837.SH,20210226,12.16,12.28,12.07,12.09,12.3,-0.21,-1.7073,632694.09,769705.016
691,600837.SH,20210301,12.14,12.19,11.93,12.02,12.09,-0.07,-0.579,596285.98,718060.746
690,600837.SH,20210302,12.06,12.07,11.91,11.94,12.02,-0.08,-0.6656,419727.72,503187.356
689,600837.SH,20210303,11.93,12.16,11.92,12.13,11.94,0.19,1.5913,502706.8,606641.664
688,600837.SH,20210304,12.08,12.16,11.95,11.97,12.13,-0.16,-1.319,494865.4,595611.38
687,600837.SH,20210305,11.91,12.2,11.89,12.12,11.97,0.15,1.2531,670562.13,811252.124
686,600837.SH,20210308,12.22,12.24,11.96,11.96,12.12,-0.16,-1.3201,657083.44,794994.353
685,600837.SH,20210309,11.95,12.04,11.73,11.83,11.96,-0.13,-1.087,556920.94,662437.293
684,600837.SH,20210310,11.89,11.93,11.7,11.72,11.83,-0.11,-0.9298,442762.46,520934.273
683,600837.SH,20210311,11.73,11.84,11.71,11.81,11.72,0.09,0.7679,389418.33,459073.807
682,600837.SH,20210312,11.8,11.99,11.68,11.87,11.81,0.06,0.508,569826.19,671998.451
681,600837.SH,20210315,11.78,11.84,11.72,11.77,11.87,-0.1,-0.8425,374258.88,440595.192
680,600837.SH,20210316,11.77,11.84,11.75,11.83,11.77,0.06,0.5098,302016.52,356503.017
679,600837.SH,20210317,11.82,11.84,11.73,11.81,11.83,-0.02,-0.1691,378988.81,446585.614
678,600837.SH,20210318,11.82,11.87,11.79,11.83,11.81,0.02,0.1693,358719.3,424070.16
677,600837.SH,20210319,11.78,11.8,11.69,11.71,11.83,-0.12,-1.0144,328934.63,386157.234
676,600837.SH,20210322,11.7,11.89,11.7,11.86,11.71,0.15,1.281,423827.75,500415.816
675,600837.SH,20210323,11.84,11.98,11.81,11.9,11.86,0.04,0.3373,483587.57,574763.144
674,600837.SH,20210324,11.89,12.14,11.85,11.92,11.9,0.02,0.1681,663347.17,794774.598
673,600837.SH,20210325,11.68,11.68,11.03,11.09,11.92,-0.83,-6.9631,1638120.9,1844712.56
672,600837.SH,20210326,11.09,11.14,10.98,11.09,11.09,0,0,660359.84,730554.278
671,600837.SH,20210329,11.04,11.18,11.01,11.15,11.09,0.06,0.541,465285.38,516963.996
670,600837.SH,20210330,11.12,11.14,11.07,11.09,11.15,-0.06,-0.5381,335456.85,372240.904
669,600837.SH,20210331,11.06,11.11,11.04,11.07,11.09,-0.02,-0.1803,319467.47,353542.926
668,600837.SH,20210401,11.06,11.12,11.04,11.11,11.07,0.04,0.3613,287791.02,318909.611
667,600837.SH,20210402,11.12,11.12,11.04,11.05,11.11,-0.06,-0.5401,396232.97,438762.939
666,600837.SH,20210406,11.1,11.11,11.07,11.09,11.05,0.04,0.362,313862.17,348218.218
